|W| [unimplemented_impl]: Unimplemented sceAppMgrIsNonGameProgram import called.
[05:09:16.894] |I| [renderer::vulkan::PipelineCache::save_pipeline_cache]: Saving pipeline cache...
[05:09:16.895] |I| [renderer::vulkan::PipelineCache::save_pipeline_cache]: Pipeline cache saved
[05:09:16.899] |E| [discordrpc::update_presence::<lambda_1>::operator ()]: Error updating discord rich presence, err_code: 43
[05:09:16.987] |I| [config::init_config]: backend-renderer: Vulkan
[05:09:16.988] |I| [config::init_config]: log-level: 1
[05:09:17.209] |I| [SDL_main]: Vita3K v0.1.6 3047-9258811b
[05:09:17.209] |I| [SDL_main]: Number of logical CPU cores: 24
[05:09:17.210] |I| [SDL_main]: Available ram memory: 16304 MiB
[05:09:17.285] |I| [renderer::vulkan::VKState::create]: Enabling vulkan validation layers (has a performance impact but allows better error messages)
[05:09:17.332] |I| [renderer::vulkan::VKState::create]: Vulkan device: NVIDIA GeForce RTX 2070 SUPER
[05:09:17.332] |I| [renderer::vulkan::VKState::create]: Driver version: 531.18.0.0
[05:09:17.333] |I| [renderer::vulkan::VKState::create]: Memory mapping is enabled
[05:09:17.659] |I| [renderer::vulkan::ScreenRenderer::setup]: Present mode: Mailbox
[05:09:18.189] |I| [compat::update_compat_app_db]: Applications compatibility database is up to date.
[05:09:18.377] |I| [gui::load_app_icon]: Default icon found for App GXMFUN001, [GXMFUN001] in path GXMFUN001.
[05:09:18.379] |I| [gui::load_app_icon]: Default icon found for App IME000001, [IME000001] in path IME000001.
[05:09:18.490] |I| [gui::load_app_icon]: Default icon found for App VSDK00010, [Motion example] in path VSDK00010.
[05:09:18.491] |I| [gui::load_app_icon]: Default icon found for App VITATESTR, [VitaTester] in path VITATESTR.
[05:09:18.493] |I| [gui::load_app_icon]: Default icon found for App VITACUBE, [VITACUBE] in path VITACUBE.
[05:09:30.384] |I| [load_app_impl]: cpu-backend: Dynarmic
[05:09:30.384] |I| [load_app_impl]: CPU Optimisation state: true
[05:09:30.385] |I| [load_app_impl]: ngs state: true
[05:09:30.386] |I| [load_app_impl]: Resolution multiplier: 4
[05:09:30.386] |I| [load_app_impl]: modules mode: Automatic
[05:09:30.387] |I| [load_app_impl]: Title: MouseCraft
[05:09:30.387] |I| [load_app_impl]: Serial: PCSB00530
[05:09:30.388] |I| [load_app_impl]: Version: 1.00
[05:09:30.388] |I| [load_app_impl]: Category: gd
[05:09:30.449] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6FFFFF01...
[05:09:30.449] |I| [load_self]: Loaded module segment 0 @ [0x00005000 - 0x000523BC / 0x81000000] (size: 0x0004D3BC) of module app0:sce_module/libc.suprx
[05:09:30.450] |I| [load_self]: Loaded module segment 1 @ [0x00053000 - 0x000556F0 / 0x8104E000] (size: 0x000026F0) of module app0:sce_module/libc.suprx
[05:09:30.451] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[05:09:30.452] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x48164
[05:09:30.453] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x3E0FC
[05:09:30.453] |I| [pre_load_module]: Pre-load module SceLibc (at "sce_module/libc.suprx") loaded
[05:09:30.465] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6FFFFF01...
[05:09:30.465] |I| [load_self]: Loaded module segment 0 @ [0x00056000 - 0x0008112C / 0x81000000] (size: 0x0002B12C) of module app0:sce_module/libfios2.suprx
[05:09:30.466] |I| [load_self]: Loaded module segment 1 @ [0x00082000 - 0x0008723D / 0x8102C000] (size: 0x0000523D) of module app0:sce_module/libfios2.suprx
[05:09:30.467] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[05:09:30.467] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x81034
[05:09:30.468] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x78548
[05:09:30.471] |I| [pre_load_module]: Pre-load module SceLibFios2 (at "sce_module/libfios2.suprx") loaded
[05:09:30.484] |I| [load_self]: app0:sce_module/libult.suprx: Skipping special segment 0x6FFFFF01...
[05:09:30.485] |I| [load_self]: Loaded module segment 0 @ [0x00088000 - 0x0009BA9C / 0x81000000] (size: 0x00013A9C) of module app0:sce_module/libult.suprx
[05:09:30.488] |I| [load_self]: Loaded module segment 1 @ [0x0009C000 - 0x0009C814 / 0x81014000] (size: 0x00000814) of module app0:sce_module/libult.suprx
[05:09:30.491] |I| [load_self]: Linking SELF app0:sce_module/libult.suprx...
[05:09:30.491] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x9A3C8
[05:09:30.492] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x97944
[05:09:30.492] |I| [pre_load_module]: Pre-load module SceUlt (at "sce_module/libult.suprx") loaded
[05:09:30.500] |I| [load_self]: Loaded module segment 0 @ [0x0009D000 - 0x000EDF04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[05:09:30.502] |I| [load_self]: Loaded module segment 1 @ [0x000EE000 - 0x000EE2F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[05:09:30.503] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[05:09:30.504] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xD97DC
[05:09:30.506] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xD8F10
[05:09:30.506] |I| [pre_load_module]: Pre-load module SceLibft2 (at "sys/external/libSceFt2.suprx") loaded
[05:09:30.509] |I| [load_self]: Loaded module segment 0 @ [0x000EF000 - 0x000FEF14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[05:09:30.510] |I| [load_self]: Loaded module segment 1 @ [0x000FF000 - 0x000FF008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[05:09:30.511] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[05:09:30.512] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0xFD710
[05:09:30.512] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xFD300
[05:09:30.513] |I| [pre_load_module]: Pre-load module SceLibPvf (at "sys/external/libpvf.suprx") loaded
[05:09:31.236] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6FFFFF01...
[05:09:31.236] |I| [load_self]: Loaded module segment 0 @ [0x00100000 - 0x01BBFD80 / 0x81000000] (size: 0x01ABFD80) of module app0:eboot.bin
[05:09:31.238] |I| [load_self]: Loaded module segment 1 @ [0x01BC0000 - 0x01EF2668 / 0x82AC0000] (size: 0x00332668) of module app0:eboot.bin
[05:09:31.239] |I| [load_self]: Linking SELF app0:eboot.bin...
[05:09:31.240] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x19D6508
[05:09:31.240] |D| [load_var_exports]: 	NID 0x70FBA1E7 (SCE_PROC_PARAMS) at 0x1BC008C
[05:09:31.241] |W| [load_var_imports]: 	NID NOT FOUND 0x1A5C609 (UNRECOGNISED) at 0x1A00D14, setting to stub value 0xDEADBEEF
[05:09:31.242] |W| [load_var_imports]: 	NID NOT FOUND 0x6EF1E48 (UNRECOGNISED) at 0x19FFD90, setting to stub value 0xDEADBEEF
[05:09:31.244] |I| [load_app_impl]: Main executable UnityPlayer (eboot.bin) loaded
[05:09:31.260] |D| [run_app]: Running module_start of library: SceLibc at address 0x5809
[05:09:31.282] |I| [run_app]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[05:09:31.285] |D| [run_app]: Running module_start of library: SceLibFios2 at address 0x56001
[05:09:31.300] |W| [stubbed_impl]: Stubbed sceKernelGetProcessId import called. (pid: 0)
[05:09:31.300] |I| [run_app]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[05:09:31.303] |D| [run_app]: Running module_start of library: SceUlt at address 0x8B769
[05:09:31.317] |W| [unimplemented_impl]: Unimplemented _sceUlobjMgrRegisterLibultProtocolRevision import called.
[05:09:31.317] |I| [run_app]: Module SceUlt (at "app0:sce_module/libult.suprx") module_start returned 0x0
[05:09:31.329] |W| [unimplemented_impl]: Unimplemented sceKernelRegisterThreadEventHandler import called.
[05:09:31.461] |E| [call_import]: Import function for NID 0xD7F0F610 not found (thread name: PCSB00530, thread ID: 7)
[05:09:31.462] |W| [unimplemented_impl]: Unimplemented sceAppUtilInit import called.
[05:09:31.488] |I| [load_self]: app0:/Media/Modules/pthread.suprx: Skipping special segment 0x6FFFFF01...
[05:09:31.489] |I| [load_self]: Loaded module segment 0 @ [0x02428000 - 0x0242E2E8 / 0x81000000] (size: 0x000062E8) of module app0:/Media/Modules/pthread.suprx
[05:09:31.490] |I| [load_self]: Loaded module segment 1 @ [0x0242F000 - 0x02431158 / 0x81007000] (size: 0x00002158) of module app0:/Media/Modules/pthread.suprx
[05:09:31.491] |I| [load_self]: Linking SELF app0:/Media/Modules/pthread.suprx...
[05:09:31.492] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x242D0AC
[05:09:31.492] |I| [start_module]: Module PTHREAD_PRX (at "app0:/Media/Modules/pthread.suprx") module_start returned 0x0
[05:09:31.498] |I| [load_self]: app0:/Media/Modules/SUPRXManager.suprx: Skipping special segment 0x6FFFFF01...
[05:09:31.498] |I| [load_self]: Loaded module segment 0 @ [0x02432000 - 0x0243759C / 0x81000000] (size: 0x0000559C) of module app0:/Media/Modules/SUPRXManager.suprx
[05:09:31.501] |I| [load_self]: Loaded module segment 1 @ [0x01F37000 - 0x01F37044 / 0x81006000] (size: 0x00000044) of module app0:/Media/Modules/SUPRXManager.suprx
[05:09:31.505] |I| [load_self]: Linking SELF app0:/Media/Modules/SUPRXManager.suprx...
[05:09:31.506] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x2436EC8
[05:09:31.508] |I| [start_module]: Module SUPRXManager (at "app0:/Media/Modules/SUPRXManager.suprx") module_start returned 0x0
[05:09:31.543] |I| [load_self]: app0:/Media/Modules/mono-vita.suprx: Skipping special segment 0x6FFFFF01...
[05:09:31.543] |I| [load_self]: Loaded module segment 0 @ [0x02438000 - 0x02659134 / 0x81000000] (size: 0x00221134) of module app0:/Media/Modules/mono-vita.suprx
[05:09:31.544] |I| [load_self]: Loaded module segment 1 @ [0x0265A000 - 0x026C0B60 / 0x81222000] (size: 0x00066B60) of module app0:/Media/Modules/mono-vita.suprx
[05:09:31.545] |I| [load_self]: Linking SELF app0:/Media/Modules/mono-vita.suprx...
[05:09:31.546] |D| [load_var_exports]: Found previously not found variable. nid:0x1A5C609, new_entry_point:0x26618E0
[05:09:31.547] |D| [load_var_exports]: Found previously not found variable. nid:0x6EF1E48, new_entry_point:0x26618D8
[05:09:31.548] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x25A3F80
[05:09:31.549] |I| [start_module]: Module MONO (at "app0:/Media/Modules/mono-vita.suprx") module_start returned 0x0
[05:09:31.612] |W| [unimplemented_impl]: Unimplemented sceKernelChangeThreadVfpException import called.
[05:09:31.613] |W| [unimplemented_impl]: Unimplemented sceFiosOverlayThreadSetDisabled02 import called.
[05:09:31.690] |I| [export_sceIoOpen]: Opening file: app0:/archive.psarc
[05:09:31.721] |I| [export_sceIoOpen]: Opening file: app0:/archive.psarc
[05:09:31.774] |I| [export_sceIoOpen]: Opening file: app0:/mono/etc/mono/config
[05:09:31.774] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/mono/etc/mono/config (target path: app0:/mono/etc/mono/config)
[05:09:31.775] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:31.777] |I| [export_sceIoOpen]: Opening file: app0:/.mono/config
[05:09:31.778] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/.mono/config (target path: app0:/.mono/config)
[05:09:31.779] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:31.783] |I| [export_sceIoOpen]: Opening file: /proc/cpuinfo
[05:09:31.783] |E| [open_file]: Cannot find device for path: /proc/cpuinfo
[05:09:31.784] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:31.795] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/config
[05:09:31.849] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/config (target path: app0:Media/Managed/mono/config)
[05:09:31.850] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:31.851] |I| [export_sceIoOpen]: Opening file: app0:/.mono/config
[05:09:31.852] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/.mono/config (target path: app0:/.mono/config)
[05:09:31.854] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:31.854] |I| [export_sceIoOpen]: Opening file: /proc/cpuinfo
[05:09:31.855] |E| [open_file]: Cannot find device for path: /proc/cpuinfo
[05:09:31.857] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:31.888] |I| [export_sceIoOpen]: Opening file: app0:/app0/mscorlib.dll
[05:09:31.888] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/app0/mscorlib.dll (target path: app0:/app0/mscorlib.dll)
[05:09:31.889] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:31.892] |I| [export_sceIoOpen]: Opening file: app0:/Media/Managed/mscorlib.dll
[05:09:31.970] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/policy.2.0.mscorlib/0.0.0.0__b77a5c561934e089/policy.2.0.mscorlib.dll
[05:09:31.971] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/policy.2.0.mscorlib/0.0.0.0__b77a5c561934e089/policy.2.0.mscorlib.dll (target path: app0:Media/Managed/mono/gac/policy.2.0.mscorlib/0.0.0.0__b77a5c561934e089/policy.2.0.mscorlib.dll)
[05:09:31.973] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:31.975] |I| [export_sceIoOpen]: Opening file: app0:/app0/mscorlib.dll
[05:09:31.975] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/app0/mscorlib.dll (target path: app0:/app0/mscorlib.dll)
[05:09:31.976] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:31.978] |I| [export_sceIoOpen]: Opening file: app0:/Media/Managed/mscorlib.dll.config
[05:09:31.979] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mscorlib.dll.config (target path: app0:/Media/Managed/mscorlib.dll.config)
[05:09:31.980] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:31.981] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/mscorlib/mscorlib.config
[05:09:31.981] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/mscorlib/mscorlib.config (target path: app0:Media/Managed/mono/assemblies/mscorlib/mscorlib.config)
[05:09:31.982] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:32.160] |W| [stubbed_impl]: Stubbed _sceKernelGetThreadInfo import called. (STUB)
[05:09:32.197] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/user/00/savedata/PCSB00530/sce_sys/safemem.dat (target path: savedata0:/sce_sys/safemem.dat)
[05:09:32.197] |W| [io_error_impl]: open_file (sceAppUtilLoadSafeMemory) returned 0x80010002
[05:09:32.289] |W| [unimplemented_impl]: Unimplemented sceCameraOpen import called.
[05:09:32.289] |W| [unimplemented_impl]: Unimplemented sceCameraClose import called.
[05:09:32.290] |W| [unimplemented_impl]: Unimplemented sceMotionSetDeadband import called.
[05:09:32.290] |W| [unimplemented_impl]: Unimplemented sceMotionSetTiltCorrection import called.
[05:09:32.291] |W| [unimplemented_impl]: Unimplemented sceMotionSetAngleThreshold import called.
[05:09:32.291] |W| [unimplemented_impl]: Unimplemented sceMotionStartSampling import called.
[05:09:32.392] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/mainData.resG (target path: app0:/Media/mainData.resG)
[05:09:32.392] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:32.393] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/mainData.res (target path: app0:/Media/mainData.res)
[05:09:32.394] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:32.395] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/mainData.resS (target path: app0:/Media/mainData.resS)
[05:09:32.396] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:32.466] |W| [unimplemented_impl]: Unimplemented sceAppMgrAcquireBgmPort import called.
[05:09:32.513] |W| [stubbed_impl]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[05:09:32.522] |W| [stubbed_impl]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[05:09:32.528] |W| [stubbed_impl]: Stubbed sceGxmGetRenderTargetMemSize import called. (2MiB emuenv mem)
[05:09:32.611] |W| [stubbed_impl]: Stubbed sceKernelGetFreeMemorySize import called. (Single pool)
[05:09:32.759] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Resources/unity default resources.resG (target path: app0:/Media/Resources/unity default resources.resG)
[05:09:32.759] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:32.760] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Resources/unity default resources.res (target path: app0:/Media/Resources/unity default resources.res)
[05:09:32.761] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:32.762] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Resources/unity default resources.resS (target path: app0:/Media/Resources/unity default resources.resS)
[05:09:32.762] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:32.873] |W| [unimplemented_impl]: Unimplemented sceSysmoduleUnloadModule import called.
[05:09:32.875] |W| [unimplemented_impl]: Unimplemented sceNgsSystemSetFlags import called.
[05:09:32.981] |I| [export_sceIoOpen]: Opening file: app0:/Media/Managed/UnityEngine.dll
[05:09:33.014] |I| [export_sceIoOpen]: Opening file: app0:/Media/Managed/UnityEngine.dll.config
[05:09:33.014] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/UnityEngine.dll.config (target path: app0:/Media/Managed/UnityEngine.dll.config)
[05:09:33.015] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.016] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/UnityEngine/UnityEngine.config
[05:09:33.017] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/UnityEngine/UnityEngine.config (target path: app0:Media/Managed/mono/assemblies/UnityEngine/UnityEngine.config)
[05:09:33.017] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.022] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/policy.2.0.mscorlib/0.0.0.0__b77a5c561934e089/policy.2.0.mscorlib.dll
[05:09:33.023] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/policy.2.0.mscorlib/0.0.0.0__b77a5c561934e089/policy.2.0.mscorlib.dll (target path: app0:Media/Managed/mono/gac/policy.2.0.mscorlib/0.0.0.0__b77a5c561934e089/policy.2.0.mscorlib.dll)
[05:09:33.024] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.120] |W| [stubbed_impl]: Stubbed sceKernelSuspendThreadForVM import called. (STUB)
[05:09:33.121] |W| [stubbed_impl]: Stubbed _sceKernelGetThreadContextForVM import called. (Stub)
[05:09:33.123] |W| [stubbed_impl]: Stubbed sceKernelResumeThreadForVM import called. (STUB)
[05:09:33.127] |I| [export_sceIoOpen]: Opening file: app0:/Media/Managed/Assembly-CSharp-firstpass.dll
[05:09:33.144] |I| [export_sceIoOpen]: Opening file: app0:/Media/Managed/Assembly-CSharp-firstpass.dll.config
[05:09:33.144] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/Assembly-CSharp-firstpass.dll.config (target path: app0:/Media/Managed/Assembly-CSharp-firstpass.dll.config)
[05:09:33.145] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.147] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/Assembly-CSharp-firstpass/Assembly-CSharp-firstpass.config
[05:09:33.148] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/Assembly-CSharp-firstpass/Assembly-CSharp-firstpass.config (target path: app0:Media/Managed/mono/assemblies/Assembly-CSharp-firstpass/Assembly-CSharp-firstpass.config)
[05:09:33.149] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.150] |I| [export_sceIoOpen]: Opening file: app0:/Media/Managed/Assembly-CSharp.dll
[05:09:33.188] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/policy.3.5.System.Core/0.0.0.0__b77a5c561934e089/policy.3.5.System.Core.dll
[05:09:33.189] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/policy.3.5.System.Core/0.0.0.0__b77a5c561934e089/policy.3.5.System.Core.dll (target path: app0:Media/Managed/mono/gac/policy.3.5.System.Core/0.0.0.0__b77a5c561934e089/policy.3.5.System.Core.dll)
[05:09:33.190] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:33.193] |E| [stat_file]: Cannot find device for path: app0/System.Core.dll
[05:09:33.193] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.194] |E| [stat_file]: Cannot find device for path: app0/System.Core.exe
[05:09:33.194] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.195] |E| [stat_file]: Cannot find device for path: app0/System.Core/System.Core.dll
[05:09:33.195] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.196] |E| [stat_file]: Cannot find device for path: app0/System.Core/System.Core.exe
[05:09:33.197] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.197] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Core.dll
[05:09:33.198] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.198] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Core.exe
[05:09:33.199] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.199] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Core/System.Core.dll
[05:09:33.200] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.201] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Core/System.Core.exe
[05:09:33.201] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:33.203] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/System.Core/3.5.0.0__b77a5c561934e089/System.Core.dll
