[00:02:05.197] |C| [handle_access_violation]: Unhandled write protected region was valid. Address=0x10
[00:02:07.012] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.013] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.013] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.014] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.014] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.014] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.015] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.015] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.015] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.016] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.016] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.017] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.017] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.043] |C| [logging::exception_handler]: Exception EXCEPTION_ACCESS_VIOLATION (0xc0000005). 
[00:02:07.043] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.043] |C| [logging::exception_handler]: Write violation at address 0x41caf9ff8.
[00:02:07.044] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.044] |C| [logging::exception_handler]: Exception EXCEPTION_ACCESS_VIOLATION (0xc0000005). 
[00:02:07.044] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.045] |C| [logging::exception_handler]: Write violation at address 0x41caf9ffc.
[00:02:07.045] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.046] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.046] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.047] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.047] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.048] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.048] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.048] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.049] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.049] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.050] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.051] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.051] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.051] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.052] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.052] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.052] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.053] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.053] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.054] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.054] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.054] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.056] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.057] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.057] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.057] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.058] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.058] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.059] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.059] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.059] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.060] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.060] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.061] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.061] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.061] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.062] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.062] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.063] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.063] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.063] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.064] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.064] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.065] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.065] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.086] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.087] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.087] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.087] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.088] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.089] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.089] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.089] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.090] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.090] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.091] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.091] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.092] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.092] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.092] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.093] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.093] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.094] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.094] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.095] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.095] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.095] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.096] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.098] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.098] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.099] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.099] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.099] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.100] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.100] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.101] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.101] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.102] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.102] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.193] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.193] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.194] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.194] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.195] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.195] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.195] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.196] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.196] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.197] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.197] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.198] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.198] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.198] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.199] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.199] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.200] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.200] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.201] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.201] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.202] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.203] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.204] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.204] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.205] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.205] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.205] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.206] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.206] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.207] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.207] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.207] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.208] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.208] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.209] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.209] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.209] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.210] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.210] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.211] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.211] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.211] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.212] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.212] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.213] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.213] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.213] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.214] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.214] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.215] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.215] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.215] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.216] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.216] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.216] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.217] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.217] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.236] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.236] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.237] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.237] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.238] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.239] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.240] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.240] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.241] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.242] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.243] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.243] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.244] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.244] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.245] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.245] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.245] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.246] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.246] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.247] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.247] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.248] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.248] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.248] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.249] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.249] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.250] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.250] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.251] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.251] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.251] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.252] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.252] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.253] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.253] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.254] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.254] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.254] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.255] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.255] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.256] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.256] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.257] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.257] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.258] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.258] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.259] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.259] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.259] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.260] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.260] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.261] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.261] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.262] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.262] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.263] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.263] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.264] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.264] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.265] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.265] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.308] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.309] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.310] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.311] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.311] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.312] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.312] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.313] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.313] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.314] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.314] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.315] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.315] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.316] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.316] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.317] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.317] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.796] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.831] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.832] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.832] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.832] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.833] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.833] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.834] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.834] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.835] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.835] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.835] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.836] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.836] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.837] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.837] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.837] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.838] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.838] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.839] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.839] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.840] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.840] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.840] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.841] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.841] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.842] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.842] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.843] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.843] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.843] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.844] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.844] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.844] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.845] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.845] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.846] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.846] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.846] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.847] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.847] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.848] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.848] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.848] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.849] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.849] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.876] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.877] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.877] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.878] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.878] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.878] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.879] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.879] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.880] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.880] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.881] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.881] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:02:07.882] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
