[00:29:46.847] |C| [handle_access_violation]: Unhandled write protected region was valid. Address=0xC
[00:29:46.857] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.857] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.857] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.857] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.857] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.858] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.858] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.858] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.858] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.858] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.858] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.858] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.859] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.859] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.859] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.859] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.859] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.859] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.860] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.860] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.860] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.860] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.860] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.860] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.861] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.861] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.861] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.862] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.862] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.862] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.862] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.862] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.863] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.863] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.863] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.863] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.863] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.863] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[00:29:46.863] |C| [ArmDynarmicCallback::MemoryRead]: PC is 0x0
[
