T| [log_import_call]: [LLE] TID: 6   FUNC: 0xd941b90 sceSystemGestureResetTouchRecognizer at 0x800e7f28
[15:04:53.558] |I| [renderer::vulkan::VKState::late_init]: Using shader interlock for accurate framebuffer fetch emulation
[15:04:54.107] |I| [renderer::vulkan::PipelineCache::set_async_compilation]: Enabling asynchronous pipeline compilation with 6 threads
[15:04:54.108] |I| [load_app_impl]: cpu-backend: Dynarmic
[15:04:54.109] |I| [load_app_impl]: CPU Optimisation state: true
[15:04:54.109] |I| [load_app_impl]: ngs state: true
[15:04:54.110] |I| [load_app_impl]: Resolution multiplier: 1
[15:04:54.110] |I| [load_app_impl]: 1 Controllers Connected
[15:04:54.110] |I| [load_app_impl]: Controller 0: Xbox 360 Controller
[15:04:54.110] |I| [load_app_impl]: modules mode: Automatic
[15:04:54.110] |I| [load_app_impl]: Title: Re:ゼロから始める異世界生活 - DEATH OR KISS -
[15:04:54.110] |I| [load_app_impl]: Serial: PCSG00933
[15:04:54.110] |I| [load_app_impl]: Version: 1.00
[15:04:54.110] |I| [load_app_impl]: Category: gd
[15:04:54.111] |I| [load_module]: Loading module "app0:eboot.bin"
[15:04:54.136] |I| [load_self]: app0:eboot.bin: Skipping special segment 0x6fffff01...
[15:04:54.137] |I| [load_self]: Loaded module segment 0 @ [0x80004000 - 0x8012BEE8 / 0x81000000] (size: 0x00127EE8) of module app0:eboot.bin
[15:04:54.137] |I| [load_self]: Loaded module segment 1 @ [0x8012C000 - 0x8025D9B0 / 0x81128000] (size: 0x001319B0) of module app0:eboot.bin
[15:04:54.137] |I| [load_self]: Linking SELF app0:eboot.bin...
[15:04:54.137] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x800e8f78
[15:04:54.137] |D| [load_var_exports]: 	NID 0x70fba1e7 (SCE_PROC_PARAMS) at 0x8012f9cc
[15:04:54.137] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x80117674
[15:04:54.137] |D| [load_var_imports]: 	NID NOT FOUND 0xddf9bb09 (UNRECOGNISED) at 0x800ee6fc, setting to stub value 0xdeadbeef
[15:04:54.137] |I| [load_module]: Module rezero (at "app0:eboot.bin") loaded
[15:04:54.137] |I| [load_app_impl]: Main executable rezero (eboot.bin) loaded
[15:04:54.138] |I| [load_module]: Loading module "app0:sce_module/libc.suprx"
[15:04:54.145] |I| [load_self]: app0:sce_module/libc.suprx: Skipping special segment 0x6fffff01...
[15:04:54.145] |I| [load_self]: Loaded module segment 0 @ [0x8025F000 - 0x802B08A4 / 0x81000000] (size: 0x000518A4) of module app0:sce_module/libc.suprx
[15:04:54.145] |I| [load_self]: Loaded module segment 1 @ [0x802B1000 - 0x802B38A0 / 0x81052000] (size: 0x000028A0) of module app0:sce_module/libc.suprx
[15:04:54.145] |I| [load_self]: Linking SELF app0:sce_module/libc.suprx...
[15:04:54.145] |D| [load_var_exports]: Found previously not found variable. nid:0xddf9bb09, new_entry_point:0x802b15b0
[15:04:54.145] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x802a6314
[15:04:54.145] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x8029b4dc
[15:04:54.145] |I| [load_module]: Module SceLibc (at "app0:sce_module/libc.suprx") loaded
[15:04:54.146] |I| [load_module]: Loading module "app0:sce_module/libfios2.suprx"
[15:04:54.150] |I| [load_self]: app0:sce_module/libfios2.suprx: Skipping special segment 0x6fffff01...
[15:04:54.150] |I| [load_self]: Loaded module segment 0 @ [0x802B4000 - 0x802E0CBF / 0x81000000] (size: 0x0002CCBF) of module app0:sce_module/libfios2.suprx
[15:04:54.151] |I| [load_self]: Loaded module segment 1 @ [0x802E1000 - 0x802E6255 / 0x8102D000] (size: 0x00005255) of module app0:sce_module/libfios2.suprx
[15:04:54.151] |I| [load_self]: Linking SELF app0:sce_module/libfios2.suprx...
[15:04:54.151] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x802e0bc8
[15:04:54.151] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x802d7f08
[15:04:54.151] |I| [load_module]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") loaded
[15:04:54.151] |I| [load_module]: Loading module "vs0:sys/external/libSceFt2.suprx"
[15:04:54.157] |I| [load_self]: Loaded module segment 0 @ [0x802E7000 - 0x80337F04 / 0x81000000] (size: 0x00050F04) of module vs0:sys/external/libSceFt2.suprx
[15:04:54.157] |I| [load_self]: Loaded module segment 1 @ [0x80338000 - 0x803382F4 / 0x81051000] (size: 0x000002F4) of module vs0:sys/external/libSceFt2.suprx
[15:04:54.157] |I| [load_self]: Linking SELF vs0:sys/external/libSceFt2.suprx...
[15:04:54.157] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x803237dc
[15:04:54.157] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x80322f10
[15:04:54.157] |I| [load_module]: Module SceLibft2 (at "vs0:sys/external/libSceFt2.suprx") loaded
[15:04:54.157] |I| [load_module]: Loading module "vs0:sys/external/libpvf.suprx"
[15:04:54.159] |I| [load_self]: Loaded module segment 0 @ [0x80339000 - 0x80348F14 / 0x81000000] (size: 0x0000FF14) of module vs0:sys/external/libpvf.suprx
[15:04:54.159] |I| [load_self]: Loaded module segment 1 @ [0x80349000 - 0x80349008 / 0x81010000] (size: 0x00000008) of module vs0:sys/external/libpvf.suprx
[15:04:54.159] |I| [load_self]: Linking SELF vs0:sys/external/libpvf.suprx...
[15:04:54.159] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x80347710
[15:04:54.159] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x80347300
[15:04:54.159] |I| [load_module]: Module SceLibPvf (at "vs0:sys/external/libpvf.suprx") loaded
[15:04:54.160] |I| [renderer::vulkan::PipelineCache::read_pipeline_cache]: Found pipeline cache, reading...
[15:04:54.160] |I| [renderer::vulkan::PipelineCache::read_pipeline_cache]: Pipeline cache read and loaded
[15:04:54.161] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 1/3
[15:04:54.162] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 2/3
[15:04:54.163] |I| [renderer::vulkan::VKState::precompile_shader]: Program Compiled 3/3
[15:04:54.180] |D| [start_module]: Running module_start of library: SceLibc at address 0x8025f871
[15:04:54.235] |T| [open_file]: sceKernelGetStdin: Opening terminal tty0:
[15:04:54.235] |T| [open_file]: sceKernelGetStdout: Opening terminal tty0:
[15:04:54.235] |T| [open_file]: sceKernelGetStderr: Opening terminal tty0:
[15:04:54.240] |I| [start_module]: Module SceLibc (at "app0:sce_module/libc.suprx") module_start returned 0x0
[15:04:54.241] |D| [start_module]: Running module_start of library: SceLibFios2 at address 0x802b4001
[15:04:54.256] |W| [export_sceKernelGetProcessId::<lambda_1>::operator ()]: Stubbed sceKernelGetProcessId import called. (pid: 1)
[15:04:54.256] |I| [start_module]: Module SceLibFios2 (at "app0:sce_module/libfios2.suprx") module_start returned 0x0
[15:04:54.257] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xbfe02b3a __cxa_set_dso_handle_main at 0x800e8b98
[15:04:54.258] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x6dc1f0d8 memset at 0x800e8a78
[15:04:54.259] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xedc939e1 __aeabi_atexit at 0x800e8bf8
[15:04:54.309] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0xcef7c575 mspace_create at 0x800e8bb8
[15:04:54.311] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x8d2a14c4 mspace_malloc_stats at 0x800e8b08
[15:04:54.557] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x775a0cb2 malloc at 0x800e8ab8
[15:04:54.562] |W| [export_sceGxmMapVertexUsseMemory::<lambda_1>::operator ()]: Stubbed sceGxmMapVertexUsseMemory import called. (always return success)
[15:04:54.563] |W| [export_sceGxmMapFragmentUsseMemory::<lambda_1>::operator ()]: Stubbed sceGxmMapFragmentUsseMemory import called. (always return success)
[15:04:54.593] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_SYSTEM_GESTURE
[15:04:54.593] |I| [load_module]: Loading module "vs0:sys/external/libsystemgesture.suprx"
[15:04:54.594] |I| [load_self]: vs0:sys/external/libsystemgesture.suprx: Skipping special segment 0x6fffff01...
[15:04:54.594] |I| [load_self]: Loaded module segment 0 @ [0x80493000 - 0x8049608C / 0x81000000] (size: 0x0000308C) of module vs0:sys/external/libsystemgesture.suprx
[15:04:54.594] |I| [load_self]: Loaded module segment 1 @ [0x80497000 - 0x80497BF0 / 0x81004000] (size: 0x00000BF0) of module vs0:sys/external/libsystemgesture.suprx
[15:04:54.594] |I| [load_self]: Linking SELF vs0:sys/external/libsystemgesture.suprx...
[15:04:54.594] |D| [load_var_exports]: 	NID 0x936c8a78 (SYSLYB) at 0x80496074
[15:04:54.594] |D| [load_var_exports]: 	NID 0x6c2224ba (NID_MODULE_INFO) at 0x80495bd4
[15:04:54.594] |I| [load_module]: Module SceSystemGesture (at "vs0:sys/external/libsystemgesture.suprx") loaded
[15:04:54.594] |D| [start_module]: Running module_start of library: SceSystemGesture at address 0x80493001
[15:04:54.608] |I| [start_module]: Module SceSystemGesture (at "vs0:sys/external/libsystemgesture.suprx") module_start returned 0x0
[15:04:54.609] |T| [log_import_call]: [LLE] TID: 6   FUNC: 0x6078a08b sceSystemGestureInitializePrimitiveTouchRecognizer at 0x800e7f38
[15:04:54.610] |W| [export_sceTouchGetPixelDensity2::<lambda_1>::operator ()]: Stubbed sceTouchGetPixelDensity2 import called. (Return constant values (22.0))
[15:04:54.610] |W| [export_sceAppUtilInit::<lambda_1>::operator ()]: Unimplemented sceAppUtilInit import called.
[15:04:54.610] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_NP
[15:04:54.610] |I| [export_sceSysmoduleLoadModule]: Loading module ID: SCE_SYSMODULE_NP_TROPHY
[15:04:54.611] |T| [open_file]: create_trophy_context: Opening file app0:/sce_sys/trophy/NPWR11309_00/TROPHY.TRP (ux0:/app/PCSG00933/sce_sys/trophy/NPWR11309_00/TROPHY.TRP), fd: 0x3
[15:04:54.611] |T| [open_file]: create_trophy_context: Opening file ux0:/user/00/trophy/data/NPWR11309_00/TROPUSR.DAT (ux0:/user/00/trophy/data/NPWR11309_00/TROPUSR.DAT), fd: 0x4
[15:04:54.611] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROPCONF.SFM (ux0:/user/00/trophy/conf/NPWR11309_00/TROPCONF.SFM), fd: 0x5
[15:04:54.611] |T| [write_file]: install_trophy_context: Writing to fd: 0x5, size: 2521
[15:04:54.611] |T| [close_file]: install_trophy_context: Closing file fd: 0x5
[15:04:54.611] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP.SFM (ux0:/user/00/trophy/conf/NPWR11309_00/TROP.SFM), fd: 0x6
[15:04:54.612] |T| [write_file]: install_trophy_context: Writing to fd: 0x6, size: 7382
[15:04:54.612] |T| [close_file]: install_trophy_context: Closing file fd: 0x6
[15:04:54.612] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/ICON0.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/ICON0.PNG), fd: 0x7
[15:04:54.612] |T| [write_file]: install_trophy_context: Writing to fd: 0x7, size: 64430
[15:04:54.612] |T| [close_file]: install_trophy_context: Closing file fd: 0x7
[15:04:54.612] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP000.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP000.PNG), fd: 0x8
[15:04:54.612] |T| [write_file]: install_trophy_context: Writing to fd: 0x8, size: 72036
[15:04:54.612] |T| [close_file]: install_trophy_context: Closing file fd: 0x8
[15:04:54.613] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP001.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP001.PNG), fd: 0x9
[15:04:54.613] |T| [write_file]: install_trophy_context: Writing to fd: 0x9, size: 96399
[15:04:54.613] |T| [close_file]: install_trophy_context: Closing file fd: 0x9
[15:04:54.613] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP002.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP002.PNG), fd: 0xa
[15:04:54.613] |T| [write_file]: install_trophy_context: Writing to fd: 0xa, size: 96399
[15:04:54.613] |T| [close_file]: install_trophy_context: Closing file fd: 0xa
[15:04:54.613] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP003.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP003.PNG), fd: 0xb
[15:04:54.614] |T| [write_file]: install_trophy_context: Writing to fd: 0xb, size: 96399
[15:04:54.614] |T| [close_file]: install_trophy_context: Closing file fd: 0xb
[15:04:54.614] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP004.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP004.PNG), fd: 0xc
[15:04:54.614] |T| [write_file]: install_trophy_context: Writing to fd: 0xc, size: 96399
[15:04:54.614] |T| [close_file]: install_trophy_context: Closing file fd: 0xc
[15:04:54.614] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP005.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP005.PNG), fd: 0xd
[15:04:54.615] |T| [write_file]: install_trophy_context: Writing to fd: 0xd, size: 96399
[15:04:54.615] |T| [close_file]: install_trophy_context: Closing file fd: 0xd
[15:04:54.615] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP006.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP006.PNG), fd: 0xe
[15:04:54.615] |T| [write_file]: install_trophy_context: Writing to fd: 0xe, size: 96399
[15:04:54.615] |T| [close_file]: install_trophy_context: Closing file fd: 0xe
[15:04:54.615] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP007.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP007.PNG), fd: 0xf
[15:04:54.615] |T| [write_file]: install_trophy_context: Writing to fd: 0xf, size: 96399
[15:04:54.615] |T| [close_file]: install_trophy_context: Closing file fd: 0xf
[15:04:54.616] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP008.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP008.PNG), fd: 0x10
[15:04:54.616] |T| [write_file]: install_trophy_context: Writing to fd: 0x10, size: 96399
[15:04:54.616] |T| [close_file]: install_trophy_context: Closing file fd: 0x10
[15:04:54.616] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP009.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP009.PNG), fd: 0x11
[15:04:54.616] |T| [write_file]: install_trophy_context: Writing to fd: 0x11, size: 96399
[15:04:54.616] |T| [close_file]: install_trophy_context: Closing file fd: 0x11
[15:04:54.616] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP010.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP010.PNG), fd: 0x12
[15:04:54.617] |T| [write_file]: install_trophy_context: Writing to fd: 0x12, size: 96399
[15:04:54.617] |T| [close_file]: install_trophy_context: Closing file fd: 0x12
[15:04:54.617] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP011.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP011.PNG), fd: 0x13
[15:04:54.617] |T| [write_file]: install_trophy_context: Writing to fd: 0x13, size: 96399
[15:04:54.617] |T| [close_file]: install_trophy_context: Closing file fd: 0x13
[15:04:54.617] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP012.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP012.PNG), fd: 0x14
[15:04:54.617] |T| [write_file]: install_trophy_context: Writing to fd: 0x14, size: 96399
[15:04:54.617] |T| [close_file]: install_trophy_context: Closing file fd: 0x14
[15:04:54.618] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP013.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP013.PNG), fd: 0x15
[15:04:54.618] |T| [write_file]: install_trophy_context: Writing to fd: 0x15, size: 96399
[15:04:54.618] |T| [close_file]: install_trophy_context: Closing file fd: 0x15
[15:04:54.618] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP014.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP014.PNG), fd: 0x16
[15:04:54.618] |T| [write_file]: install_trophy_context: Writing to fd: 0x16, size: 96399
[15:04:54.618] |T| [close_file]: install_trophy_context: Closing file fd: 0x16
[15:04:54.619] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP015.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP015.PNG), fd: 0x17
[15:04:54.619] |T| [write_file]: install_trophy_context: Writing to fd: 0x17, size: 96399
[15:04:54.619] |T| [close_file]: install_trophy_context: Closing file fd: 0x17
[15:04:54.619] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP016.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP016.PNG), fd: 0x18
[15:04:54.619] |T| [write_file]: install_trophy_context: Writing to fd: 0x18, size: 86412
[15:04:54.619] |T| [close_file]: install_trophy_context: Closing file fd: 0x18
[15:04:54.619] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP017.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP017.PNG), fd: 0x19
[15:04:54.620] |T| [write_file]: install_trophy_context: Writing to fd: 0x19, size: 86412
[15:04:54.620] |T| [close_file]: install_trophy_context: Closing file fd: 0x19
[15:04:54.620] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP018.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP018.PNG), fd: 0x1a
[15:04:54.620] |T| [write_file]: install_trophy_context: Writing to fd: 0x1a, size: 86412
[15:04:54.620] |T| [close_file]: install_trophy_context: Closing file fd: 0x1a
[15:04:54.620] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP019.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP019.PNG), fd: 0x1b
[15:04:54.620] |T| [write_file]: install_trophy_context: Writing to fd: 0x1b, size: 86412
[15:04:54.621] |T| [close_file]: install_trophy_context: Closing file fd: 0x1b
[15:04:54.621] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP020.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP020.PNG), fd: 0x1c
[15:04:54.621] |T| [write_file]: install_trophy_context: Writing to fd: 0x1c, size: 86412
[15:04:54.621] |T| [close_file]: install_trophy_context: Closing file fd: 0x1c
[15:04:54.621] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP021.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP021.PNG), fd: 0x1d
[15:04:54.621] |T| [write_file]: install_trophy_context: Writing to fd: 0x1d, size: 86412
[15:04:54.621] |T| [close_file]: install_trophy_context: Closing file fd: 0x1d
[15:04:54.622] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP022.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP022.PNG), fd: 0x1e
[15:04:54.622] |T| [write_file]: install_trophy_context: Writing to fd: 0x1e, size: 86412
[15:04:54.622] |T| [close_file]: install_trophy_context: Closing file fd: 0x1e
[15:04:54.622] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP023.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP023.PNG), fd: 0x1f
[15:04:54.622] |T| [write_file]: install_trophy_context: Writing to fd: 0x1f, size: 86412
[15:04:54.622] |T| [close_file]: install_trophy_context: Closing file fd: 0x1f
[15:04:54.622] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP024.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP024.PNG), fd: 0x20
[15:04:54.622] |T| [write_file]: install_trophy_context: Writing to fd: 0x20, size: 86412
[15:04:54.623] |T| [close_file]: install_trophy_context: Closing file fd: 0x20
[15:04:54.623] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP025.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP025.PNG), fd: 0x21
[15:04:54.623] |T| [write_file]: install_trophy_context: Writing to fd: 0x21, size: 86412
[15:04:54.623] |T| [close_file]: install_trophy_context: Closing file fd: 0x21
[15:04:54.623] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP026.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP026.PNG), fd: 0x22
[15:04:54.623] |T| [write_file]: install_trophy_context: Writing to fd: 0x22, size: 86412
[15:04:54.623] |T| [close_file]: install_trophy_context: Closing file fd: 0x22
[15:04:54.624] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP027.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP027.PNG), fd: 0x23
[15:04:54.624] |T| [write_file]: install_trophy_context: Writing to fd: 0x23, size: 86412
[15:04:54.624] |T| [close_file]: install_trophy_context: Closing file fd: 0x23
[15:04:54.624] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP028.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP028.PNG), fd: 0x24
[15:04:54.624] |T| [write_file]: install_trophy_context: Writing to fd: 0x24, size: 86412
[15:04:54.624] |T| [close_file]: install_trophy_context: Closing file fd: 0x24
[15:04:54.624] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP029.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP029.PNG), fd: 0x25
[15:04:54.625] |T| [write_file]: install_trophy_context: Writing to fd: 0x25, size: 86412
[15:04:54.625] |T| [close_file]: install_trophy_context: Closing file fd: 0x25
[15:04:54.625] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP030.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP030.PNG), fd: 0x26
[15:04:54.625] |T| [write_file]: install_trophy_context: Writing to fd: 0x26, size: 86412
[15:04:54.625] |T| [close_file]: install_trophy_context: Closing file fd: 0x26
[15:04:54.625] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP031.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP031.PNG), fd: 0x27
[15:04:54.625] |T| [write_file]: install_trophy_context: Writing to fd: 0x27, size: 86412
[15:04:54.625] |T| [close_file]: install_trophy_context: Closing file fd: 0x27
[15:04:54.626] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP032.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP032.PNG), fd: 0x28
[15:04:54.626] |T| [write_file]: install_trophy_context: Writing to fd: 0x28, size: 86412
[15:04:54.626] |T| [close_file]: install_trophy_context: Closing file fd: 0x28
[15:04:54.626] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP033.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP033.PNG), fd: 0x29
[15:04:54.626] |T| [write_file]: install_trophy_context: Writing to fd: 0x29, size: 86412
[15:04:54.626] |T| [close_file]: install_trophy_context: Closing file fd: 0x29
[15:04:54.626] |T| [open_file]: install_trophy_context: Opening file ux0:/user/00/trophy/conf/NPWR11309_00/TROP034.PNG (ux0:/user/00/trophy/conf/NPWR11309_00/TROP034.PNG), fd: 0x2a
[15:04:54.627] |T| [write_file]: install_trophy_context: Writing to fd: 0x2a, size: 104293
[15:04:54.627] |T| [close_file]: install_trophy_context: Closing file fd: 0x2a
